GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUBE001,ALUKE001,ALUKE002,ALUKE003,ALUKE004,ALUKE005,ALUKE006,ALUKE007,ALUKE008,ALUKE009,ALUKE010,ALUKE011,ALUKE012,ALUKE013,ALUKE014,ALUKE015,ALUKE016,ALUKE017,ALUKE018,ALUKE019,ALUKE020,ALUKE021,ALWVE001,ALWVE002,ALWVE003,ALWVE004,ALWVE005,ALWVE006,ALWVE007,ALWVE008,ALW1E001,NAME_M,ALUBM001,ALUKM001,ALUKM002,ALUKM003,ALUKM004,ALUKM005,ALUKM006,ALUKM007,ALUKM008,ALUKM009,ALUKM010,ALUKM011,ALUKM012,ALUKM013,ALUKM014,ALUKM015,ALUKM016,ALUKM017,ALUKM018,ALUKM019,ALUKM020,ALUKM021,ALWVM001,ALWVM002,ALWVM003,ALWVM004,ALWVM005,ALWVM006,ALWVM007,ALWVM008,ALW1M001
"G01000100","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00100","79500US0100100",,,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",186032,186032,176437,152340,19555,830,978,113,143,2478,22,2456,9595,4532,307,320,0,0,4026,410,296,114,182780,10865,18196,8130,10675,15736,6551,112627,46208,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",497,497,487,503,354,257,87,68,100,461,23,461,139,808,230,330,28,28,701,226,191,89,664,1101,1581,974,1167,1561,1045,2684,1540
"G01000200","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00200","79500US0100200",,,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",194005,194005,185429,142806,32809,1636,3196,144,238,4600,40,4560,8576,5560,384,98,22,24,2067,421,276,145,190342,8645,12282,6300,6966,12150,5179,138820,67155,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",1448,1448,1582,1617,1088,285,533,160,185,663,39,663,604,799,197,91,26,40,548,241,238,78,1571,1242,1481,1077,1236,1587,1262,2779,2093
"G01000301","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00301","79500US0100301",,,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",129185,129185,122100,66774,45624,507,4586,77,661,3871,69,3802,7085,5332,202,44,17,0,1133,357,134,223,126420,7024,9155,5013,4538,7103,2589,90998,64223,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",1604,1604,1653,1501,1345,209,667,60,479,716,59,713,860,704,93,60,21,28,537,163,106,113,1562,1125,1350,687,777,1099,638,2004,1487
"G01000302","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00302","79500US0100302",,,"Huntsville City (Central & South) PUMA, Alabama",101885,101885,94755,69021,20367,333,2245,66,90,2633,67,2566,7130,3760,398,13,32,26,2456,445,229,216,96003,7937,9361,4974,3512,5104,1492,63623,53989,"Huntsville City (Central & South) PUMA, Alabama",1661,1661,1545,1293,1249,130,351,48,72,450,56,444,814,739,268,17,35,32,567,197,132,136,1554,1169,1061,832,690,748,377,1536,1967
"G01000400","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00400","79500US0100400",,,"DeKalb & Jackson Counties PUMA, Alabama",123162,123162,111267,103636,2796,1348,318,205,63,2901,5,2896,11895,4744,52,122,0,411,6335,231,193,38,121667,9526,14843,9245,8983,10241,3905,64924,41128,"DeKalb & Jackson Counties PUMA, Alabama",0,0,0,58,196,275,87,127,60,349,9,349,0,722,54,126,28,455,750,148,144,48,244,1466,1584,1323,1123,1131,707,2063,982
"G01000500","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00500","79500US0100500",,,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",127571,127571,113377,105459,3744,565,1339,108,162,2000,33,1967,14194,12392,60,29,0,0,1392,321,168,153,126028,9468,11749,5459,6284,8226,4052,80790,54060,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",950,950,938,966,332,177,270,73,115,331,42,324,279,595,81,42,28,28,484,181,110,149,957,1178,1419,840,942,1145,803,1776,1498
"G01000600","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00600","79500US0100600",,,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",152271,152271,141585,115448,18628,2417,825,93,72,4102,54,4048,10686,5616,104,9,0,25,4638,294,132,162,149758,8627,14405,8218,7473,11429,3696,95910,50422,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",0,0,0,86,406,444,157,96,71,549,54,554,0,822,120,23,28,39,831,298,155,232,481,1000,1561,1113,1106,1427,659,2379,1492
"G01000700","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00700","79500US0100700",,,"Cullman & Winston Counties PUMA, Alabama",106637,106637,102276,98414,1208,315,351,12,48,1928,86,1842,4361,3235,39,0,0,0,889,198,100,98,105003,7218,9042,5186,6878,10053,3936,62690,43354,"Cullman & Winston Counties PUMA, Alabama",0,0,0,118,140,167,160,18,66,267,101,255,0,487,68,28,28,28,458,146,104,94,275,936,981,713,966,1414,1070,1885,1188
"G01000800","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00800","79500US0100800",,,"St. Clair & Blount Counties PUMA, Alabama",146009,146009,138534,126016,9299,344,915,36,236,1688,0,1688,7475,6159,76,53,42,0,875,270,192,78,143322,7707,10516,7682,6669,10721,3941,96086,54689,"St. Clair & Blount Counties PUMA, Alabama",136,136,136,284,215,150,138,45,264,260,28,260,2,442,73,73,55,28,430,163,132,78,347,1096,1258,1017,1240,1631,918,2553,1339
"G01000900","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00900","79500US0100900",,,"Etowah County PUMA, Alabama",102748,102748,98766,80001,15861,377,764,24,53,1686,0,1686,3982,2026,469,204,0,0,1128,155,100,55,101346,6338,11287,5977,4876,8203,2726,61939,44637,"Etowah County PUMA, Alabama",0,0,0,47,309,174,97,33,47,355,28,355,0,406,286,115,28,28,350,82,82,44,267,769,1085,1107,712,996,653,1756,1878
