GISJOIN,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area
G01000100,"01","00100","0100100","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",G6120,S,5402367417.00000000000,248159270.00000000000,"+34.6498811","-087.7645774",429444.54639199999,5650527025.35999965668
G01000200,"01","00200","0100200",Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,G6120,S,2680329715.00000000000,141503140.00000000000,"+34.8077795","-086.8002450",379092.63010700000,2821832922.00000000000
G01000301,"01","00301","0100301",Huntsville (North) & Madison (East) Cities PUMA,G6120,S,236191712.99999997020,920254.00000000000,"+34.7579669","-086.6903195",70275.43439820000,237111942.80000001192
G01000302,"01","00302","0100302",Huntsville City (Central & South) PUMA,G6120,S,161096180.00000000000,1277370.00000000000,"+34.6880969","-086.5631826",85964.87888300000,162373585.55399999022
G01000400,"01","00400","0100400",DeKalb & Jackson Counties PUMA,G6120,S,4804650512.00000000000,130456252.00000000000,"+34.6438652","-085.9069481",356227.77030700003,4935107094.13000011444
G01000500,"01","00500","0100500",Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,G6120,S,1914305866.00000000000,155935072.00000000000,"+34.4213821","-086.3563540",244705.00054400001,2070240959.06999993324
G01000600,"01","00600","0100600",Morgan & Lawrence Counties--Decatur City PUMA,G6120,S,3290021082.99999952316,119059621.00000000000,"+34.4893614","-087.0971469",293680.55193199997,3409080830.78999948502
G01000700,"01","00700","0100700",Cullman & Winston Counties PUMA,G6120,S,3490584873.00000000000,101442242.00000000000,"+34.1472400","-087.0981794",335141.42308199999,3592027267.36999988556
G01000800,"01","00800","0100800",St. Clair & Blount Counties PUMA,G6120,S,3306494767.00000047684,71491602.00000000000,"+33.8370266","-086.4303815",409575.57671100000,3377986623.13000059128
G01000900,"01","00900","0100900",Etowah County PUMA,G6120,S,1385871922.00000000000,35067763.00000000000,"+34.0476407","-086.0342629",209124.79881199999,1420939756.40000009537
G01001000,"01","01000","0101000","Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",G6120,S,7860447912.00000000000,198161796.00000000000,"+33.5446787","-085.7423636",637964.68239099998,8058610257.46000003815
G01001100,"01","01100","0101100",Calhoun County PUMA,G6120,S,1569195268.00000000000,16587192.00000000000,"+33.7705162","-085.8279089",218816.28016800000,1585782504.80000019073
G01001200,"01","01200","0101200",Shelby County PUMA,G6120,S,2034134905.00000000000,62515663.00000000000,"+33.2630428","-086.6780894",252572.11865500000,2096650618.98000001907
G01001301,"01","01301","0101301",Birmingham City (West) PUMA,G6120,S,109603734.00000000000,95813.00000000000,"+33.4903300","-086.8831392",65730.24067800000,109699563.43999999762
G01001302,"01","01302","0101302",Birmingham City (East) PUMA,G6120,S,135185238.00000000000,222044.00000000000,"+33.5559091","-086.7561424",74683.28250099999,135407253.80300000310
